,address,at_street,description,latitude,location_type,longitude,municipality,name,on_street,platform_code,platform_name,vehicle_type,wheelchair_boarding
door-eliot-lincoln,,,"Eliot - Lincoln St, Parking",42.319272,2,-71.216878,Newton,"Eliot - Lincoln St, Parking",,,,,2
WR-0099-02,,,Wakefield - Commuter Rail - Track 2 (Boston),42.502126,0,-71.075566,Wakefield,Wakefield,,2,Track 2 (Boston),2.0,2
door-newto-braeland,,,"Newton Centre - Braeland Ave, Langley Rd",42.329349,2,-71.192296,Newton,"Newton Centre - Braeland Ave, Langley Rd",,,,,2
7831,,Ash Street,,42.347514,0,-71.250898,Newton,Commonwealth Ave @ Ash St,Commonwealth Avenue,,,3.0,1
51317,,Ruggles Street,,42.337711,0,-71.095172,Boston,Huntington Ave @ Ruggles St,Huntington Avenue,,,3.0,1
3978,,Quincy Street,,42.135767,0,-71.006692,Holbrook,S Franklin St opp Quincy St,South Franklin Street,,,3.0,1
1035,,Washington Street,,42.349261,0,-71.153309,Boston,Market St @ Washington St,Market Street,,,3.0,1
node-bbsta-e57stairs-platform,,,Back Bay - Bottom of Tracks 5-7 east stairs,,3,,Boston,Back Bay,,,,,1
8145,,Elliot Street,,42.312647,0,-71.224718,Newton,Chestnut St @ Elliot St,Chestnut Street,,,3.0,1
place-GRB-0199,"110 Chief Justice Cushing Hwy, Cohasset, MA 02025",,,42.24421,1,-70.837529,Cohasset,Cohasset,,,,,1
9070214,,Hawes Street,Hawes Street - Green Line Park Street & North Shuttle - 1089 Beacon St,42.3449,0,-71.11065,Brookline,Hawes Street - 1089 Beacon St,Beacon Street,,Park Street & North Shuttle,3.0,1
NEC-2287-06,,,South Station - Commuter Rail - Track 6,42.351178,0,-71.055238,Boston,South Station,,6,Commuter Rail - Track 6,2.0,1
12468,,Virginia Road,,42.418807,0,-71.191934,Arlington,Appleton St @ Virginia Rd,Appleton Street,,,3.0,1
15002,,Governors Avenue,,42.418763,0,-71.111446,Medford,High St @ Bradlee Rd,High Street,,,3.0,1
39321,,,,42.241847,0,-70.983929,Quincy,Southern Artery @ South St,Southern Artery,,,3.0,1
1554,,Cumberland Avenue,,42.327864,0,-71.119112,Brookline,High St @ Cumberland Ave,High Street,,,3.0,1
70135,,,Packard's Corner - Green Line - (B) Boston College,42.351651,0,-71.12551,Boston,Packard's Corner,,,Boston College,0.0,2
node-431-lobby,,,Kenmore - Top of escalator from westbound platform,,3,,Boston,Kenmore,,,,,1
65541,,Prospect Street,,42.345765,0,-71.233474,Newton,Washington St @ Prospect St,Washington Street,,,3.0,1
3355,,Stedman Street,,42.256313,0,-71.033465,Quincy,Adams St @ Beale St,Adams Street,,,3.0,1
5210,,Saville Street,,42.279556,0,-71.146643,Boston,Park St @ Saville St,Park Street,,,3.0,1
4365,,Quarry Lane,,42.247533,0,-71.067362,Milton,Pleasant St @ Reedsdale Rd,Pleasant Street,,,3.0,1
WML-0102-B0,,,Auburndale - Commuter Rail Outbound Shuttle - Woodland Rd opp Auburndale Sta,42.34507,0,-71.25223,Newton,Auburndale - Woodland Rd opp Auburndale Sta,Woodland Road,,Outbound Shuttle,3.0,1
4247,,Fairview Avenue,,42.156825,0,-71.044003,Randolph,S Main St @ Darrell Dr,South Main Street,,,3.0,1
4480,,Tracy Avenue,,42.480078,0,-70.946253,Lynn,Western Ave opp Tracey Ave,Western Avenue,,,3.0,1
node-987-nbplatform,,,"Porter - Alewife platform level of Red Line, lobby elevator",42.388489,3,-71.119066,Cambridge,Porter,,,,,1
